2025-11-19 14:03:07 - 8_0.0_1 - INFO - ================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 日志文件已创建: logs/cifar-100/dpfpl/8_0.0_1_20251119_140307.log
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 📋 实验配置摘要
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   Task ID:      [34/60]
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   数据集:       cifar-100
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   模型方法:     dpfpl
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   Rank:         8
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   噪声级别:     0.0
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   随机种子:     1
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   客户端数量:   50
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 14:03:07 - 8_0.0_1 - INFO -   训练轮次:     30
2025-11-19 14:03:07 - 8_0.0_1 - INFO - ======================================================================
2025-11-19 14:03:07 - 8_0.0_1 - INFO - 
2025-11-19 14:03:07 - 8_0.0_1 - INFO - Loading trainer: DP_FPL
2025-11-19 14:03:07 - 8_0.0_1 - INFO - Loading dataset: Cifar100
2025-11-19 14:03:10 - 8_0.0_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 14:03:13 - 8_0.0_1 - INFO - Building custom CLIP
2025-11-19 14:03:13 - 8_0.0_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 14:04:04 - 8_0.0_1 - INFO - [Epoch 1/30] 训练耗时: 50.45s | 平均训练准确率: 34.09
2025-11-19 14:04:52 - 8_0.0_1 - INFO - [Epoch 2/30] 训练耗时: 48.04s | 平均训练准确率: 47.50
2025-11-19 14:05:40 - 8_0.0_1 - INFO - [Epoch 3/30] 训练耗时: 47.76s | 平均训练准确率: 61.30
2025-11-19 14:06:29 - 8_0.0_1 - INFO - [Epoch 4/30] 训练耗时: 48.97s | 平均训练准确率: 64.58
2025-11-19 14:07:17 - 8_0.0_1 - INFO - [Epoch 5/30] 训练耗时: 48.24s | 平均训练准确率: 65.81
2025-11-19 14:08:06 - 8_0.0_1 - INFO - [Epoch 6/30] 训练耗时: 48.93s | 平均训练准确率: 66.34
2025-11-19 14:08:54 - 8_0.0_1 - INFO - [Epoch 7/30] 训练耗时: 48.11s | 平均训练准确率: 67.56
2025-11-19 14:09:41 - 8_0.0_1 - INFO - [Epoch 8/30] 训练耗时: 47.67s | 平均训练准确率: 67.61
2025-11-19 14:10:30 - 8_0.0_1 - INFO - [Epoch 9/30] 训练耗时: 48.78s | 平均训练准确率: 68.23
2025-11-19 14:11:19 - 8_0.0_1 - INFO - [Epoch 10/30] 训练耗时: 48.26s | 平均训练准确率: 68.50
2025-11-19 14:12:08 - 8_0.0_1 - INFO - [Epoch 11/30] 训练耗时: 49.03s | 平均训练准确率: 69.12
2025-11-19 14:12:56 - 8_0.0_1 - INFO - [Epoch 12/30] 训练耗时: 48.49s | 平均训练准确率: 69.12
2025-11-19 14:13:45 - 8_0.0_1 - INFO - [Epoch 13/30] 训练耗时: 48.73s | 平均训练准确率: 69.58
2025-11-19 14:14:34 - 8_0.0_1 - INFO - [Epoch 14/30] 训练耗时: 49.33s | 平均训练准确率: 69.42
2025-11-19 14:15:22 - 8_0.0_1 - INFO - [Epoch 15/30] 训练耗时: 47.93s | 平均训练准确率: 69.59
2025-11-19 14:16:11 - 8_0.0_1 - INFO - [Epoch 16/30] 训练耗时: 49.07s | 平均训练准确率: 69.98
2025-11-19 14:17:00 - 8_0.0_1 - INFO - [Epoch 17/30] 训练耗时: 48.48s | 平均训练准确率: 70.58
2025-11-19 14:17:48 - 8_0.0_1 - INFO - [Epoch 18/30] 训练耗时: 48.75s | 平均训练准确率: 70.39
2025-11-19 14:18:37 - 8_0.0_1 - INFO - [Epoch 19/30] 训练耗时: 48.94s | 平均训练准确率: 70.56
2025-11-19 14:19:26 - 8_0.0_1 - INFO - [Epoch 20/30] 训练耗时: 48.85s | 平均训练准确率: 70.69
2025-11-19 14:20:15 - 8_0.0_1 - INFO - [Epoch 21/30] 训练耗时: 49.04s | 平均训练准确率: 70.70
2025-11-19 14:21:05 - 8_0.0_1 - INFO - [Epoch 22/30] 训练耗时: 49.36s | 平均训练准确率: 70.73
2025-11-19 14:21:53 - 8_0.0_1 - INFO - [Epoch 23/30] 训练耗时: 48.43s | 平均训练准确率: 70.94
2025-11-19 14:22:42 - 8_0.0_1 - INFO - [Epoch 24/30] 训练耗时: 49.38s | 平均训练准确率: 71.02
2025-11-19 14:23:31 - 8_0.0_1 - INFO - [Epoch 25/30] 训练耗时: 48.45s | 平均训练准确率: 70.92
2025-11-19 14:24:20 - 8_0.0_1 - INFO - [Epoch 26/30] 训练耗时: 48.78s | 平均训练准确率: 71.27
2025-11-19 14:25:09 - 8_0.0_1 - INFO - [Epoch 27/30] 训练耗时: 48.91s | 平均训练准确率: 71.36
2025-11-19 14:25:57 - 8_0.0_1 - INFO - [Epoch 28/30] 训练耗时: 48.79s | 平均训练准确率: 71.98
2025-11-19 14:25:57 - 8_0.0_1 - INFO - 
2025-11-19 14:25:57 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:25:57 - 8_0.0_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:25:57 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:25:57 - 8_0.0_1 - INFO - 
2025-11-19 14:32:43 - 8_0.0_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    68.75 |
| Client 1  |    78.95 |      21.05 |    77.78 |
| Client 2  |    67.57 |      32.43 |    74.70 |
| Client 3  |    70.59 |      29.41 |    68.33 |
| Client 4  |    71.43 |      28.57 |    64.65 |
| Client 5  |    75.00 |      25.00 |    77.45 |
| Client 6  |    75.00 |      25.00 |    61.36 |
| Client 7  |    69.05 |      30.95 |    68.06 |
| Client 8  |    70.45 |      29.55 |    68.17 |
| Client 9  |    77.78 |      22.22 |    78.58 |
| Client 10 |    73.91 |      26.09 |    71.14 |
| Client 11 |    77.50 |      22.50 |    80.34 |
| Client 12 |    70.21 |      29.79 |    72.52 |
| Client 13 |    62.86 |      37.14 |    55.30 |
| Client 14 |    80.00 |      20.00 |    76.67 |
| Client 15 |    62.50 |      37.50 |    61.02 |
| Client 16 |    65.85 |      34.15 |    55.81 |
| Client 17 |    68.18 |      31.82 |    72.95 |
| Client 18 |    65.85 |      34.15 |    67.63 |
| Client 19 |    68.18 |      31.82 |    70.83 |
| Client 20 |    78.57 |      21.43 |    79.12 |
| Client 21 |    74.36 |      25.64 |    72.50 |
| Client 22 |    76.74 |      23.26 |    75.44 |
| Client 23 |    61.54 |      38.46 |    57.60 |
| Client 24 |    71.11 |      28.89 |    74.13 |
| Client 25 |    66.67 |      33.33 |    63.20 |
| Client 26 |    63.27 |      36.73 |    63.83 |
| Client 27 |    65.12 |      34.88 |    60.20 |
| Client 28 |    80.56 |      19.44 |    79.70 |
| Client 29 |    53.66 |      46.34 |    51.72 |
| Client 30 |    78.57 |      21.43 |    77.14 |
| Client 31 |    72.09 |      27.91 |    68.74 |
| Client 32 |    75.00 |      25.00 |    77.33 |
| Client 33 |    58.54 |      41.46 |    63.31 |
| Client 34 |    71.79 |      28.21 |    70.80 |
| Client 35 |    65.12 |      34.88 |    67.23 |
| Client 36 |    81.58 |      18.42 |    85.90 |
| Client 37 |    68.57 |      31.43 |    72.22 |
| Client 38 |    76.09 |      23.91 |    71.52 |
| Client 39 |    62.50 |      37.50 |    64.25 |
| Client 40 |    76.32 |      23.68 |    72.04 |
| Client 41 |    54.76 |      45.24 |    56.67 |
| Client 42 |    82.61 |      17.39 |    78.24 |
| Client 43 |    80.56 |      19.44 |    79.42 |
| Client 44 |    59.52 |      40.48 |    57.55 |
| Client 45 |    58.06 |      41.94 |    63.77 |
| Client 46 |    65.71 |      34.29 |    62.82 |
| Client 47 |    67.74 |      32.26 |    70.83 |
| Client 48 |    69.44 |      30.56 |    64.52 |
| Client 49 |    72.16 |      27.84 |    71.31 |
| Average   |    70.18 |      29.82 |    69.30 |
+-----------+----------+------------+----------+

2025-11-19 14:32:43 - 8_0.0_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.25 |      29.75 |    70.09 |
| Client 1  |    70.17 |      29.83 |    70.13 |
| Client 2  |    70.30 |      29.70 |    70.11 |
| Client 3  |    70.24 |      29.76 |    70.13 |
| Client 4  |    70.23 |      29.77 |    70.17 |
| Client 5  |    70.10 |      29.90 |    69.92 |
| Client 6  |    70.10 |      29.90 |    70.05 |
| Client 7  |    70.17 |      29.83 |    70.01 |
| Client 8  |    70.19 |      29.81 |    70.12 |
| Client 9  |    70.06 |      29.94 |    69.92 |
| Client 10 |    70.06 |      29.94 |    69.96 |
| Client 11 |    70.00 |      30.00 |    69.96 |
| Client 12 |    70.20 |      29.80 |    70.01 |
| Client 13 |    70.43 |      29.57 |    70.32 |
| Client 14 |    70.18 |      29.82 |    70.12 |
| Client 15 |    70.51 |      29.49 |    70.30 |
| Client 16 |    70.55 |      29.45 |    70.34 |
| Client 17 |    70.50 |      29.50 |    70.40 |
| Client 18 |    70.55 |      29.45 |    70.46 |
| Client 19 |    70.55 |      29.45 |    70.15 |
| Client 20 |    70.33 |      29.67 |    70.26 |
| Client 21 |    70.42 |      29.58 |    70.26 |
| Client 22 |    70.41 |      29.59 |    70.30 |
| Client 23 |    70.58 |      29.42 |    70.54 |
| Client 24 |    70.49 |      29.51 |    70.46 |
| Client 25 |    70.67 |      29.33 |    70.53 |
| Client 26 |    70.78 |      29.22 |    70.37 |
| Client 27 |    70.67 |      29.33 |    70.51 |
| Client 28 |    70.32 |      29.68 |    70.11 |
| Client 29 |    70.90 |      29.10 |    70.68 |
| Client 30 |    70.43 |      29.57 |    70.19 |
| Client 31 |    70.57 |      29.43 |    70.41 |
| Client 32 |    70.62 |      29.38 |    70.51 |
| Client 33 |    70.95 |      29.05 |    70.62 |
| Client 34 |    70.68 |      29.32 |    70.46 |
| Client 35 |    70.87 |      29.13 |    70.68 |
| Client 36 |    70.49 |      29.51 |    70.22 |
| Client 37 |    70.74 |      29.26 |    70.51 |
| Client 38 |    70.57 |      29.43 |    70.31 |
| Client 39 |    70.87 |      29.13 |    70.56 |
| Client 40 |    70.49 |      29.51 |    70.27 |
| Client 41 |    70.84 |      29.16 |    70.57 |
| Client 42 |    70.21 |      29.79 |    70.06 |
| Client 43 |    70.26 |      29.74 |    70.12 |
| Client 44 |    70.74 |      29.26 |    70.40 |
| Client 45 |    70.70 |      29.30 |    70.33 |
| Client 46 |    70.59 |      29.41 |    70.31 |
| Client 47 |    70.59 |      29.41 |    70.20 |
| Client 48 |    70.62 |      29.38 |    70.34 |
| Client 49 |    70.47 |      29.53 |    70.23 |
| Average   |    70.46 |      29.54 |    70.28 |
+-----------+----------+------------+----------+

2025-11-19 14:32:43 - 8_0.0_1 - INFO - 
2025-11-19 14:32:43 - 8_0.0_1 - INFO - ================================================================================
2025-11-19 14:32:43 - 8_0.0_1 - INFO -                     TEST FINISH - Epoch 28/30
2025-11-19 14:32:43 - 8_0.0_1 - INFO -                     测试耗时: 405.43s
2025-11-19 14:32:43 - 8_0.0_1 - INFO - ================================================================================
