2025-11-20 23:17:41 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | Loading trainer: DP_FPL
2025-11-20 23:17:41 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | Loading dataset: Cifar100
2025-11-20 23:17:43 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | Loading CLIP (backbone: ViT-B/16)
2025-11-20 23:17:45 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | Building custom CLIP
2025-11-20 23:17:45 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | Turning off gradients in both the image and the text encoder
2025-11-20 23:17:45 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [wandb] 正在初始化实验：project=SepFPL, name=cifar-100-fedotp-rank8-noise0.0-seed1-users25-2/60, mode=online
2025-11-20 23:18:56 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 1/30] 训练耗时: 58.39s | 平均训练准确率: 35.36
2025-11-20 23:19:55 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 2/30] 训练耗时: 58.33s | 平均训练准确率: 35.38
2025-11-20 23:20:53 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 3/30] 训练耗时: 58.53s | 平均训练准确率: 35.38
2025-11-20 23:21:52 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 4/30] 训练耗时: 58.89s | 平均训练准确率: 35.35
2025-11-20 23:22:51 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 5/30] 训练耗时: 59.16s | 平均训练准确率: 35.35
2025-11-20 23:23:51 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 6/30] 训练耗时: 59.72s | 平均训练准确率: 35.33
2025-11-20 23:24:49 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 7/30] 训练耗时: 58.55s | 平均训练准确率: 35.36
2025-11-20 23:25:47 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 8/30] 训练耗时: 57.60s | 平均训练准确率: 35.36
2025-11-20 23:26:45 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 9/30] 训练耗时: 57.83s | 平均训练准确率: 35.29
2025-11-20 23:27:43 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 10/30] 训练耗时: 58.03s | 平均训练准确率: 35.31
2025-11-20 23:28:41 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 11/30] 训练耗时: 57.72s | 平均训练准确率: 35.34
2025-11-20 23:29:38 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 12/30] 训练耗时: 57.79s | 平均训练准确率: 35.30
2025-11-20 23:30:36 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 13/30] 训练耗时: 57.81s | 平均训练准确率: 35.36
2025-11-20 23:31:34 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 14/30] 训练耗时: 57.72s | 平均训练准确率: 35.35
2025-11-20 23:32:32 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 15/30] 训练耗时: 57.80s | 平均训练准确率: 35.33
2025-11-20 23:33:30 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 16/30] 训练耗时: 57.90s | 平均训练准确率: 35.38
2025-11-20 23:34:28 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 17/30] 训练耗时: 57.96s | 平均训练准确率: 35.35
2025-11-20 23:35:26 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 18/30] 训练耗时: 58.60s | 平均训练准确率: 35.34
2025-11-20 23:36:24 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 19/30] 训练耗时: 58.34s | 平均训练准确率: 35.39
2025-11-20 23:37:23 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 20/30] 训练耗时: 58.21s | 平均训练准确率: 35.33
2025-11-20 23:38:21 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 21/30] 训练耗时: 57.97s | 平均训练准确率: 35.39
2025-11-20 23:39:18 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 22/30] 训练耗时: 57.69s | 平均训练准确率: 35.34
2025-11-20 23:40:16 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 23/30] 训练耗时: 57.92s | 平均训练准确率: 35.34
2025-11-20 23:41:14 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 24/30] 训练耗时: 57.76s | 平均训练准确率: 35.34
2025-11-20 23:42:12 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 25/30] 训练耗时: 57.81s | 平均训练准确率: 35.38
2025-11-20 23:43:10 | INFO | cifar-100_fedotp_8_0.0_25_[2/60] | [Epoch 26/30] 训练耗时: 57.79s | 平均训练准确率: 35.30
