2025-11-20 23:17:41 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | Loading trainer: DP_FPL
2025-11-20 23:17:41 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | Loading dataset: Cifar100
2025-11-20 23:17:43 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | Loading CLIP (backbone: ViT-B/16)
2025-11-20 23:17:45 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | Building custom CLIP
2025-11-20 23:17:45 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | Turning off gradients in both the image and the text encoder
2025-11-20 23:17:45 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [wandb] 正在初始化实验：project=SepFPL, name=cifar-100-promptfl-rank8-noise0.0-seed1-users25-1/60, mode=online
2025-11-20 23:18:54 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 1/30] 训练耗时: 59.05s | 平均训练准确率: 35.77
2025-11-20 23:19:55 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 2/30] 训练耗时: 60.84s | 平均训练准确率: 35.75
2025-11-20 23:20:57 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 3/30] 训练耗时: 61.83s | 平均训练准确率: 35.76
2025-11-20 23:21:59 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 4/30] 训练耗时: 62.11s | 平均训练准确率: 35.71
2025-11-20 23:23:01 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 5/30] 训练耗时: 62.20s | 平均训练准确率: 35.74
2025-11-20 23:24:03 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 6/30] 训练耗时: 62.15s | 平均训练准确率: 35.70
2025-11-20 23:25:03 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 7/30] 训练耗时: 59.68s | 平均训练准确率: 35.76
2025-11-20 23:26:00 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 8/30] 训练耗时: 57.36s | 平均训练准确率: 35.74
2025-11-20 23:26:58 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 9/30] 训练耗时: 57.85s | 平均训练准确率: 35.77
2025-11-20 23:27:56 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 10/30] 训练耗时: 57.84s | 平均训练准确率: 35.74
2025-11-20 23:28:54 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 11/30] 训练耗时: 57.61s | 平均训练准确率: 35.80
2025-11-20 23:29:51 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 12/30] 训练耗时: 57.36s | 平均训练准确率: 35.74
2025-11-20 23:30:49 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 13/30] 训练耗时: 57.78s | 平均训练准确率: 35.76
2025-11-20 23:31:47 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 14/30] 训练耗时: 57.75s | 平均训练准确率: 35.79
2025-11-20 23:32:44 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 15/30] 训练耗时: 57.61s | 平均训练准确率: 35.75
2025-11-20 23:33:42 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 16/30] 训练耗时: 57.73s | 平均训练准确率: 35.74
2025-11-20 23:34:40 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 17/30] 训练耗时: 57.90s | 平均训练准确率: 35.76
2025-11-20 23:35:38 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 18/30] 训练耗时: 57.74s | 平均训练准确率: 35.77
2025-11-20 23:36:36 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 19/30] 训练耗时: 58.05s | 平均训练准确率: 35.77
2025-11-20 23:37:34 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 20/30] 训练耗时: 58.07s | 平均训练准确率: 35.75
2025-11-20 23:38:31 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 21/30] 训练耗时: 57.63s | 平均训练准确率: 35.79
2025-11-20 23:39:29 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 22/30] 训练耗时: 57.66s | 平均训练准确率: 35.76
2025-11-20 23:40:27 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 23/30] 训练耗时: 57.67s | 平均训练准确率: 35.71
2025-11-20 23:41:24 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 24/30] 训练耗时: 57.69s | 平均训练准确率: 35.73
2025-11-20 23:42:22 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 25/30] 训练耗时: 57.73s | 平均训练准确率: 35.74
2025-11-20 23:43:20 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 26/30] 训练耗时: 57.50s | 平均训练准确率: 35.83
2025-11-20 23:44:17 | INFO | cifar-100_promptfl_8_0.0_25_[1/60] | [Epoch 27/30] 训练耗时: 57.37s | 平均训练准确率: 35.71
