
====================================================================================================
📊 实验4 (MIA攻击) 结果表格 - exp4-mia - caltech-101
====================================================================================================
+----------+------------+------------+------------+------------+------------+------------+---------+
| Label    | Noise=0.00 | Noise=0.40 | Noise=0.20 | Noise=0.10 | Noise=0.05 | Noise=0.01 | Average |
+----------+------------+------------+------------+------------+------------+------------+---------+
| Label 0  |     0.7253 |     0.7692 |     0.7582 |     0.7802 |     0.7582 |     0.7473 |  0.7564 |
| Label 1  |     0.5357 |     0.5357 |     0.5357 |     0.5357 |     0.5357 |     0.5357 |  0.5357 |
| Label 2  |     0.8299 |     0.8163 |     0.8163 |     0.8163 |     0.8163 |     0.8163 |  0.8186 |
| Label 3  |     0.3611 |     0.3889 |     0.3333 |     0.3889 |     0.3889 |     0.4444 |  0.3843 |
| Label 4  |     0.8219 |     0.8288 |     0.8151 |     0.8151 |     0.8219 |     0.8151 |  0.8196 |
| Label 5  |     0.7407 |     0.7037 |     0.7407 |     0.7037 |     0.7778 |     0.8889 |  0.7593 |
| Label 6  |     0.8519 |     0.8148 |     0.8148 |     0.8148 |     0.8148 |     0.8519 |  0.8272 |
| Label 7  |     0.8065 |     0.7742 |     0.8065 |     0.7742 |     0.7742 |     0.7097 |  0.7742 |
| Label 8  |     0.4412 |     0.4118 |     0.4412 |     0.3824 |     0.3824 |     0.3529 |  0.4020 |
| Label 9  |     0.4667 |     0.4333 |     0.5333 |     0.4333 |     0.4000 |     0.4333 |  0.4500 |
| Label 10 |     0.5714 |     0.5714 |     0.5714 |     0.5238 |     0.5714 |     0.5714 |  0.5635 |
| Label 11 |     0.4348 |     0.4565 |     0.4348 |     0.4130 |     0.4130 |     0.4130 |  0.4275 |
| Label 12 |     0.3500 |     0.3500 |     0.3500 |     0.3500 |     0.3500 |     0.3500 |  0.3500 |
| Label 13 |     0.8571 |     0.7857 |     0.8214 |     0.8214 |     0.8214 |     0.8571 |  0.8274 |
| Label 14 |     0.7209 |     0.6977 |     0.6744 |     0.7209 |     0.7674 |     0.6977 |  0.7132 |
| Label 15 |     0.6098 |     0.5610 |     0.4878 |     0.5854 |     0.6098 |     0.5610 |  0.5691 |
| Label 16 |     0.7879 |     0.7879 |     0.7879 |     0.7879 |     0.7879 |     0.8182 |  0.7929 |
| Label 17 |     0.7857 |     0.7857 |     0.7857 |     0.7857 |     0.7857 |     0.7857 |  0.7857 |
| Label 18 |     0.5862 |     0.3793 |     0.4483 |     0.3793 |     0.3621 |     0.5345 |  0.4483 |
| Label 19 |     0.3548 |     0.3548 |     0.3548 |     0.3548 |     0.3548 |     0.3226 |  0.3495 |
| Label 20 |     0.5588 |     0.5588 |     0.5588 |     0.5294 |     0.5000 |     0.8529 |  0.5931 |
| Label 21 |     0.6341 |     0.5122 |     0.4878 |     0.5122 |     0.5122 |     0.7805 |  0.5732 |
| Label 22 |     0.4651 |     0.4186 |     0.3953 |     0.4419 |     0.4419 |     0.5116 |  0.4457 |
| Label 23 |     0.7419 |     0.7742 |     0.7419 |     0.8065 |     0.7742 |     0.7097 |  0.7581 |
| Label 24 |     0.4324 |     0.5676 |     0.4324 |     0.4865 |     0.5405 |     0.4324 |  0.4820 |
| Label 25 |     0.4865 |     0.4865 |     0.4865 |     0.4865 |     0.4865 |     0.4054 |  0.4730 |
| Label 26 |     0.6667 |     0.6111 |     0.6667 |     0.6389 |     0.6389 |     0.5556 |  0.6296 |
| Label 27 |     0.8182 |     0.8182 |     0.8182 |     0.8485 |     0.8485 |     0.8485 |  0.8333 |
| Label 28 |     0.7353 |     0.7059 |     0.7353 |     0.7059 |     0.7353 |     0.7059 |  0.7206 |
| Label 29 |     0.4722 |     0.4167 |     0.3611 |     0.3611 |     0.3611 |     0.4722 |  0.4074 |
| Label 30 |     0.7297 |     0.7297 |     0.7297 |     0.7297 |     0.7297 |     0.7297 |  0.7297 |
| Label 31 |     0.7647 |     0.7941 |     0.7941 |     0.7647 |     0.7647 |     0.7647 |  0.7745 |
| Label 32 |     0.4286 |     0.6667 |     0.7143 |     0.6905 |     0.6667 |     0.4048 |  0.5952 |
| Label 33 |     0.4250 |     0.4500 |     0.4750 |     0.4250 |     0.4000 |     0.4250 |  0.4333 |
| Label 34 |     0.5405 |     0.4865 |     0.4865 |     0.4324 |     0.4595 |     0.5946 |  0.5000 |
| Label 35 |     0.6250 |     0.4500 |     0.4500 |     0.7000 |     0.7000 |     0.7250 |  0.6083 |
